MC-cycles <epsilon> <|m|>
1010 0.149683 1.115
1011 0.149753 1.12
1012 0.149832 1.125
1013 0.149921 1.12
1014 0.15 1.115
1015 0.150089 1.11
1016 0.150177 1.11
1017 0.150265 1.105
1018 0.150354 1.11
1019 0.150442 1.11
1020 0.150529 1.105
1021 0.150637 1.1
1022 0.150744 1.105
1023 0.15085 1.105
1024 0.150957 1.105
1025 0.151063 1.1
1026 0.15116 1.105
1027 0.151266 1.1
1028 0.151372 1.105
1029 0.151467 1.1
1030 0.151563 1.1
1031 0.151678 1.105
1032 0.151793 1.105
1033 0.151897 1.11
1034 0.152002 1.115
1035 0.152106 1.11
1036 0.152201 1.105
1037 0.152295 1.1
1038 0.152399 1.105
1039 0.152493 1.11
1040 0.152577 1.105
1041 0.152671 1.1
1042 0.152764 1.1
1043 0.152857 1.105
1044 0.15296 1.1
1045 0.153062 1.105
1046 0.153164 1.1
1047 0.153276 1.095
1048 0.153387 1.1
1049 0.153499 1.1
1050 0.15361 1.1
1051 0.15372 1.105
1052 0.153831 1.11
1053 0.153932 1.115
1054 0.154032 1.11
1055 0.154123 1.115
1056 0.154205 1.12
1057 0.154286 1.115
1058 0.154367 1.115
1059 0.154448 1.11
1060 0.154519 1.105
1061 0.15459 1.1
1062 0.154661 1.095
1063 0.154751 1.09
1064 0.154831 1.095
1065 0.154911 1.095
1066 0.154991 1.095
1067 0.15507 1.1
1068 0.15515 1.105
1069 0.155229 1.1
1070 0.155308 1.1
1071 0.155387 1.095
1072 0.155466 1.09
1073 0.155555 1.085
1074 0.155642 1.085
1075 0.155721 1.08
1076 0.15579 1.085
1077 0.15585 1.09
1078 0.155891 1.095
1079 0.155941 1.09
1080 0.155991 1.085
1081 0.156022 1.08
1082 0.156054 1.08
1083 0.156085 1.085
1084 0.156116 1.085
1085 0.156147 1.08
1086 0.156179 1.075
1087 0.15621 1.07
1088 0.156241 1.07
1089 0.156263 1.065
1090 0.156294 1.06
1091 0.156324 1.055
1092 0.156355 1.055
1093 0.156377 1.05
1094 0.156399 1.055
1095 0.15642 1.05
1096 0.156432 1.055
1097 0.156436 1.05
1098 0.15643 1.055
1099 0.156424 1.05
1100 0.156418 1.045
1101 0.156412 1.04
1102 0.156425 1.045
1103 0.156437 1.05
1104 0.156449 1.05
1105 0.156462 1.045
1106 0.156483 1.04
1107 0.156504 1.035
1108 0.156525 1.035
1109 0.156546 1.035
1110 0.156559 1.03
1111 0.15658 1.035
1112 0.156601 1.03
1113 0.156631 1.025
1114 0.156661 1.03
1115 0.156691 1.03
1116 0.15672 1.035
1117 0.156741 1.03
1118 0.156762 1.025
1119 0.156783 1.02
1120 0.156804 1.015
1121 0.156824 1.02
1122 0.156845 1.02
1123 0.156866 1.025
