MC-cycles <epsilon> <|m|>
457 -0.305821 1.02
458 -0.304651 1.02
459 -0.303486 1.02
460 -0.302326 1.02
461 -0.301171 1.02
462 -0.300043 1.015
463 -0.29892 1.015
464 -0.297802 1.02
465 -0.296688 1.015
466 -0.295601 1.01
467 -0.294497 1.005
468 -0.293397 1.005
469 -0.292303 1.005
470 -0.291213 1
471 -0.290127 0.995
472 -0.289047 1
473 -0.287992 0.995
474 -0.286941 0.99
475 -0.285853 0.985
476 -0.284727 0.99
477 -0.283606 0.985
478 -0.28249 0.98
479 -0.281399 0.975
480 -0.280313 0.975
481 -0.27921 0.97
482 -0.278112 0.97
483 -0.277019 0.975
484 -0.275909 0.98
485 -0.274804 0.98
486 -0.273745 0.975
487 -0.27271 0.98
488 -0.27166 0.975
489 -0.270613 0.98
490 -0.269571 0.985
491 -0.268534 0.98
492 -0.2675 0.975
493 -0.266471 0.98
494 -0.265466 0.975
495 -0.264465 0.98
496 -0.263468 0.985
497 -0.262475 0.99
498 -0.261466 0.985
499 -0.260461 0.985
500 -0.25946 0.99
501 -0.258463 0.99
502 -0.25747 0.99
503 -0.256501 0.985
504 -0.255536 0.99
505 -0.254574 0.99
506 -0.253597 0.995
507 -0.252643 0.99
508 -0.251713 0.985
509 -0.250786 0.99
510 -0.249863 0.99
511 -0.248943 0.985
512 -0.248027 0.98
513 -0.247096 0.975
514 -0.246128 0.98
515 -0.245146 0.975
516 -0.244167 0.975
517 -0.243191 0.97
518 -0.242239 0.975
519 -0.241291 0.98
520 -0.240346 0.98
521 -0.239405 0.975
522 -0.238429 0.98
523 -0.237438 0.985
524 -0.236431 0.98
525 -0.23541 0.985
526 -0.23443 0.99
527 -0.233454 0.99
528 -0.232481 0.99
529 -0.231512 0.99
530 -0.230547 0.99
531 -0.229605 0.985
532 -0.228647 0.99
533 -0.227692 0.995
534 -0.226742 0.995
535 -0.225794 0.995
536 -0.224832 0.99
537 -0.223836 0.995
538 -0.222844 0.995
539 -0.221837 0.99
540 -0.220833 0.985
541 -0.219852 0.98
542 -0.218875 0.985
543 -0.217882 0.98
544 -0.216893 0.975
545 -0.21589 0.97
546 -0.21489 0.97
547 -0.213894 0.97
548 -0.212901 0.965
549 -0.211894 0.97
550 -0.210891 0.97
551 -0.209909 0.975
552 -0.208913 0.97
553 -0.20792 0.975
554 -0.206931 0.98
555 -0.205946 0.985
556 -0.204982 0.98
557 -0.204004 0.985
558 -0.203029 0.99
559 -0.202039 0.985
560 -0.201054 0.98
561 -0.200071 0.975
562 -0.199093 0.98
563 -0.198135 0.985
564 -0.197163 0.98
565 -0.196212 0.985
566 -0.195265 0.98
567 -0.194321 0.98
568 -0.19338 0.98
569 -0.192443 0.98
570 -0.191526 0.985
571 -0.190613 0.985
572 -0.18972 0.99
573 -0.188831 0.995
574 -0.187962 0.99
575 -0.187096 0.995
576 -0.186215 1
577 -0.185303 0.995
578 -0.184394 0.995
579 -0.183472 0.99
580 -0.182552 0.99
581 -0.181635 0.99
582 -0.180756 0.985
583 -0.179863 0.98
584 -0.178973 0.98
585 -0.178103 0.975
586 -0.177235 0.98
587 -0.176371 0.98
588 -0.17551 0.98
589 -0.174652 0.975
590 -0.173797 0.98
591 -0.172944 0.98
592 -0.172095 0.975
593 -0.171265 0.98
594 -0.170438 0.98
595 -0.169613 0.985
596 -0.168792 0.99
597 -0.167973 0.985
598 -0.16714 0.99
599 -0.166294 0.995
600 -0.165483 1
601 -0.164676 0.995
602 -0.16387 1
603 -0.163068 0.995
604 -0.162268 0.995
605 -0.161488 1
606 -0.16071 1.005
607 -0.159967 1.01
608 -0.159227 1.01
609 -0.158489 1.01
610 -0.15777 1.015
611 -0.157054 1.015
612 -0.15634 1.015
613 -0.155644 1.02
614 -0.154951 1.025
615 -0.15426 1.02
616 -0.153571 1.015
617 -0.152869 1.01
618 -0.152184 1.015
619 -0.151502 1.01
620 -0.150823 1.015
621 -0.150145 1.01
622 -0.149469 1.01
623 -0.14878 1.005
624 -0.148093 1.005
625 -0.147392 1.01
626 -0.146693 1.015
627 -0.146013 1.02
628 -0.145303 1.015
629 -0.14461 1.02
630 -0.143905 1.015
631 -0.143201 1.015
632 -0.142484 1.01
633 -0.141769 1.01
634 -0.141057 1.01
635 -0.140346 1.005
636 -0.139638 1.005
637 -0.138932 1
638 -0.138245 1.005
639 -0.137574 1.01
640 -0.136891 1.005
641 -0.136209 1.01
642 -0.13553 1.01
643 -0.134852 1.015
644 -0.134177 1.01
645 -0.133519 1.015
646 -0.132864 1.015
647 -0.13221 1.015
648 -0.131559 1.015
649 -0.130894 1.02
650 -0.130231 1.025
651 -0.129555 1.03
652 -0.128911 1.035
653 -0.12827 1.04
654 -0.12763 1.04
655 -0.126962 1.045
656 -0.126296 1.045
657 -0.125632 1.045
658 -0.12497 1.05
659 -0.12431 1.055
660 -0.123636 1.06
661 -0.122935 1.065
662 -0.122221 1.06
663 -0.121508 1.06
664 -0.120798 1.06
665 -0.120105 1.055
666 -0.119444 1.06
667 -0.118786 1.055
668 -0.118099 1.06
669 -0.117429 1.065
670 -0.116761 1.065
671 -0.116125 1.07
672 -0.115491 1.07
673 -0.114859 1.065
674 -0.114228 1.07
675 -0.1136 1.07
676 -0.113003 1.075
677 -0.112408 1.07
678 -0.111799 1.065
679 -0.111163 1.06
680 -0.110544 1.055
681 -0.109941 1.06
682 -0.109311 1.055
683 -0.108682 1.06
684 -0.108056 1.06
685 -0.107431 1.06
686 -0.106837 1.055
687 -0.10623 1.05
688 -0.105625 1.05
689 -0.105022 1.045
690 -0.10442 1.05
691 -0.103835 1.055
692 -0.103266 1.05
693 -0.102698 1.045
694 -0.102133 1.04
695 -0.101568 1.035
696 -0.101006 1.04
697 -0.100445 1.035
698 -0.0998854 1.03
699 -0.0993276 1.035
700 -0.0988 1.03
701 -0.0982739 1.03
702 -0.0977778 1.035
703 -0.0972831 1.03
704 -0.0967756 1.025
705 -0.0962837 1.03
706 -0.0957932 1.025
707 -0.0953041 1.025
708 -0.0948164 1.03
709 -0.09433 1.03
710 -0.0938451 1.03
711 -0.0933615 1.03
712 -0.0928792 1.025
713 -0.0923983 1.025
714 -0.0919048 1.02
715 -0.0913986 1.025
716 -0.0908939 1.02
717 -0.0904045 1.025
718 -0.0899164 1.025
719 -0.0894298 1.025
720 -0.0889722 1.02
721 -0.0885437 1.015
722 -0.0881163 1.015
723 -0.0876763 1.01
724 -0.0872238 1.015
725 -0.0867724 1.02
726 -0.0863085 1.025
727 -0.0858322 1.02
728 -0.0853571 1.025
729 -0.0848697 1.02
730 -0.0843836 1.02
731 -0.0839124 1.025
732 -0.083429 1.02
733 -0.0829332 1.015
734 -0.0824387 1.01
735 -0.0819592 1.015
736 -0.081481 1.01
737 -0.0810312 1.005
738 -0.0805827 1.01
739 -0.0801353 1.005
740 -0.0796757 1
741 -0.0792038 0.995
742 -0.0787601 1
743 -0.0783176 0.995
744 -0.0778763 1
745 -0.0774362 0.995
746 -0.0769839 1
747 -0.0765462 1.005
748 -0.0761096 1.005
749 -0.0756609 1.01
750 -0.0752133 1.005
751 -0.074767 1
752 -0.0743218 1.005
753 -0.0738778 1.01
754 -0.073435 1.005
755 -0.0730066 1.01
756 -0.0725661 1.005
757 -0.0721136 1
758 -0.0716623 1
759 -0.0711989 0.995
760 -0.0707368 0.99
761 -0.070276 0.99
762 -0.0698163 0.99
763 -0.0693578 0.99
764 -0.0689136 0.985
765 -0.0684706 0.99
766 -0.0680287 0.985
767 -0.0675619 0.99
768 -0.0670964 0.985
769 -0.066632 0.99
770 -0.0661688 0.985
771 -0.0657328 0.99
772 -0.0652979 0.995
773 -0.0648642 0.995
774 -0.0644186 0.99
775 -0.0639871 0.995
776 -0.0635825 1
777 -0.063166 1.005
778 -0.0627635 1
779 -0.062362 1
780 -0.0619615 1
781 -0.0615749 1.005
782 -0.0611893 1.01
783 -0.0608046 1.01
