MC-cycles <epsilon> <|m|>
385 0.147818 1.06
386 0.147953 1.055
387 0.148088 1.06
388 0.148196 1.065
389 0.148303 1.07
390 0.14841 1.075
391 0.148542 1.08
392 0.148648 1.085
393 0.148753 1.085
394 0.148858 1.085
395 0.149013 1.08
396 0.149167 1.085
397 0.149345 1.08
398 0.149548 1.085
399 0.149724 1.09
400 0.149875 1.085
401 0.15005 1.08
402 0.150224 1.075
403 0.150397 1.075
404 0.150619 1.07
405 0.150815 1.065
406 0.15101 1.06
407 0.151229 1.065
408 0.151495 1.07
409 0.15176 1.07
410 0.152 1.075
411 0.152238 1.07
412 0.152476 1.065
413 0.152712 1.065
414 0.152947 1.065
415 0.153181 1.065
416 0.153389 1.06
417 0.153573 1.065
418 0.153756 1.065
419 0.153938 1.065
420 0.154143 1.06
421 0.154347 1.065
422 0.15455 1.06
423 0.154752 1.065
424 0.154953 1.065
425 0.155153 1.065
426 0.155352 1.06
427 0.15555 1.055
428 0.155771 1.06
429 0.156037 1.055
430 0.156279 1.06
431 0.15652 1.06
432 0.156736 1.055
433 0.156928 1.05
434 0.15712 1.05
435 0.15731 1.055
436 0.1575 1.06
437 0.157689 1.055
438 0.157831 1.05
439 0.157973 1.055
440 0.158091 1.06
441 0.158209 1.065
442 0.158326 1.07
443 0.158442 1.07
444 0.158559 1.07
445 0.158652 1.065
446 0.158744 1.065
447 0.158837 1.06
448 0.158906 1.055
449 0.158976 1.05
450 0.159022 1.045
451 0.159091 1.05
452 0.159181 1.045
453 0.159272 1.04
454 0.159383 1.035
455 0.159495 1.04
456 0.159561 1.045
457 0.159606 1.04
458 0.159651 1.045
459 0.159695 1.04
460 0.159739 1.04
461 0.159783 1.035
462 0.159827 1.03
463 0.15987 1.025
464 0.159935 1.02
465 0.159978 1.015
466 0.160021 1.01
467 0.160064 1.005
468 0.160107 1
469 0.160149 1
470 0.160234 1.005
471 0.160318 1
472 0.160381 0.995
473 0.160423 1
474 0.160422 0.995
475 0.160421 0.995
476 0.16042 0.995
477 0.160419 0.995
478 0.160439 1
479 0.16048 1.005
480 0.160521 1.005
481 0.160582 1
482 0.160643 0.995
483 0.160704 0.995
484 0.160764 0.995
485 0.160825 0.995
486 0.160905 1
487 0.160965 0.995
488 0.161025 0.99
489 0.161125 0.985
490 0.161245 0.98
491 0.161365 0.98
492 0.161463 0.985
493 0.161562 0.985
494 0.16168 0.99
495 0.161778 0.985
496 0.161875 0.98
497 0.161972 0.98
498 0.162068 0.975
499 0.162144 0.98
500 0.16224 0.985
501 0.162335 0.99
502 0.16243 0.99
503 0.162525 0.985
504 0.162619 0.99
505 0.162713 0.985
506 0.162787 0.99
507 0.16284 0.985
508 0.162894 0.98
509 0.162947 0.98
510 0.163039 0.975
511 0.163112 0.98
512 0.163184 0.975
513 0.163255 0.98
514 0.163327 0.975
515 0.163398 0.98
516 0.163469 0.975
517 0.16352 0.97
518 0.163571 0.975
519 0.163642 0.98
520 0.163692 0.975
521 0.163743 0.975
522 0.163793 0.97
523 0.163862 0.965
524 0.163969 0.97
525 0.164095 0.965
526 0.164259 0.96
527 0.164421 0.965
528 0.164583 0.97
529 0.164764 0.975
530 0.164943 0.98
531 0.165085 0.975
532 0.165226 0.975
533 0.165366 0.97
534 0.165506 0.97
535 0.165645 0.975
536 0.165784 0.97
537 0.165922 0.975
538 0.166041 0.97
539 0.166197 0.965
540 0.166352 0.965
541 0.166506 0.97
542 0.166642 0.965
543 0.166777 0.97
544 0.166893 0.965
545 0.166991 0.97
546 0.167088 0.97
547 0.167185 0.975
548 0.167281 0.975
549 0.167377 0.98
550 0.167491 0.975
551 0.167604 0.975
552 0.167736 0.97
553 0.167848 0.975
554 0.16796 0.975
555 0.168054 0.97
556 0.168147 0.975
557 0.168223 0.97
558 0.168297 0.97
559 0.16839 0.965
560 0.168482 0.965
561 0.168574 0.97
562 0.168648 0.975
563 0.168721 0.97
564 0.168794 0.975
565 0.16885 0.97
566 0.168869 0.975
567 0.168889 0.98
568 0.168926 0.985
569 0.168963 0.985
570 0.168965 0.98
